"";"x"
"1";0.96
"2";1.55
"3";1.45
"4";0.28
"5";-0.9
"6";-0.76
"7";-0.24
"8";1.08
"9";1.89
"10";2.22
"11";1.32
"12";1.16
"13";0.23
"14";0.75
"15";0.58
"16";0.63
"17";-0.26
"18";-0.34
"19";0.72
"20";0.64
"21";0.56
"22";1.08
"23";1.23
"24";0.86
"25";0.19
"26";0.25
"27";0.51
"28";0.73
"29";0.68
"30";0.91
"31";0.88
"32";1.26
"33";1.36
"34";0.79
"35";1.03
"36";1.99
"37";1.45
"38";1.14
"39";0.96
"40";0.31
"41";0.04
"42";-0.33
"43";0.01
"44";0.14
"45";1.03
"46";0.56
"47";0.89
"48";0.84
"49";0.56
"50";1.92
"51";1.19
"52";0.58
"53";-0.11
"54";-0.15
"55";-0.15
"56";0.78
"57";0.46
"58";0.77
"59";1.08
"60";1.48
"61";0.81
"62";1.17
"63";0.97
"64";1.37
"65";0.63
"66";0.65
"67";-0.01
"68";0.24
"69";0.77
"70";1.83
"71";1.5
"72";2.28
"73";1.06
"74";1.24
"75";1.09
"76";0.78
"77";0.71
"78";1.32
"79";0.3
