DATE;SELIC;EXPINF;META;PIB
nov/2001;19,05;5,48;3,58;112,6552881
dez/2001;19,05;5,22;3,54;113,0460727
jan/2002;19,05;4,75;3,5;114,0857857
fev/2002;18,97;4,69;3,54;115,6770513
mar/2002;18,72;4,81;3,58;114,013891
abr/2002;18,38;4,94;3,63;114,4188174
mai/2002;18,37;4,53;3,67;115,0187375
jun/2002;18,1;4,43;3,71;115,4257189
jul/2002;18,17;4,88;3,75;115,8514159
ago/2002;17,84;5,15;3,79;116,7590184
set/2002;17,89;5,78;3,83;118,0715646
out/2002;19,59;7,48;3,88;118,1194834
nov/2002;21,25;10,85;3,92;118,2875545
dez/2002;23,03;12,48;3,96;117,6713287
jan/2003;25,06;12,24;4;115,6385803
fev/2003;25,68;11,34;4,13;117,2219576
mar/2003;26,32;10,38;4,25;118,731385
abr/2003;26,32;9,48;4,38;118,0252412
mai/2003;26,31;8,52;4,5;115,4020606
jun/2003;26,09;7,79;4,63;116,3739158
jul/2003;25,36;6,83;4,75;116,6246549
ago/2003;23,5;6,46;4,88;116,9241327
set/2003;21,02;6,43;5;118,685439
out/2003;19,54;6,31;5,13;118,1236473
nov/2003;18,31;5,97;5,25;118,6162737
dez/2003;16,91;5,84;5,38;117,9965616
jan/2004;16,32;5,95;5,5;119,6438799
fev/2004;16,3;5,89;5,42;120,7200207
mar/2004;16,19;5,59;5,33;122,6403048
abr/2004;15,96;5,56;5,25;123,4959513
mai/2004;15,77;5,73;5,17;122,7906533
jun/2004;15,8;6,16;5,08;124,7297057
jul/2004;15,77;6,34;5;125,0013124
ago/2004;15,86;6,29;4,92;125,6169568
set/2004;16,09;6,27;4,83;126,1911975
out/2004;16,41;6,21;4,75;126,2092115
nov/2004;16,96;6,23;4,67;126,6941552
dez/2004;17,5;6,13;4,58;126,6243722
jan/2005;17,93;5,88;4,5;126,5467289
fev/2005;18,47;5,67;4,5;126,3766446
mar/2005;18,97;5,62;4,5;127,8397163
abr/2005;19,32;5,7;4,5;129,4798833
mai/2005;19,61;5,6;4,5;127,9875485
jun/2005;19,75;5,12;4,5;128,0336435
jul/2005;19,72;4,92;4,5;127,9109137
ago/2005;19,75;4,82;4,5;128,6964409
set/2005;19,61;4,77;4,5;128,1706838
out/2005;19,25;4,72;4,5;128,5159902
nov/2005;18,87;4,63;4,5;129,0376599
dez/2005;18,24;4,51;4,5;130,0563765
jan/2006;17,65;4,57;4,5;131,0363901
fev/2006;17,28;4,51;4,5;131,415784
mar/2006;16,74;4,35;4,5;131,5966274
abr/2006;16,19;4,17;4,5;131,9892897
mai/2006;15,7;4,09;4,5;132,2364419
jun/2006;15,18;4,09;4,5;132,6589373
jul/2006;14,98;4,25;4,5;133,9202168
ago/2006;14,66;4,41;4,5;134,2586447
set/2006;14,17;4,19;4,5;134,7590295
out/2006;13,95;3,98;4,5;135,0710038
nov/2006;13,65;4,08;4,5;136,2013917
dez/2006;13,19;4,11;4,5;137,4991822
jan/2007;13,13;4,04;4,5;137,9827259
fev/2007;12,93;3,9;4,5;138,2277264
mar/2007;12,74;3,76;4,5;138,5106131
abr/2007;12,58;3,63;4,5;139,3078355
mai/2007;12,43;3,44;4,5;140,3537438
jun/2007;12,03;3,44;4,5;142,6719324
jul/2007;11,73;3,5;4,5;141,6874184
ago/2007;11,43;3,67;4,5;142,2708882
set/2007;11,22;3,77;4,5;143,4196995
out/2007;11,18;3,74;4,5;144,3268266
nov/2007;11,18;3,8;4,5;144,8652086
dez/2007;11,18;4,18;4,5;145,7038645
jan/2008;11,18;4,42;4,5;146,3752816
fev/2008;11,18;4,32;4,5;147,5977192
mar/2008;11,18;4,31;4,5;147,0305923
abr/2008;11,37;4,45;4,5;147,9304709
mai/2008;11,63;4,77;4,5;149,404991
jun/2008;12,09;5,21;4,5;150,8697829
jul/2008;12,36;5,53;4,5;151,3221751
ago/2008;12,92;5,27;4,5;151,4499415
set/2008;13,39;5,12;4,5;151,2895961
out/2008;13,66;5,18;4,5;148,7290319
nov/2008;13,64;5,43;4,5;145,6346187
dez/2008;13,66;5,15;4,5;141,353244
jan/2009;13,32;4,81;4,5;142,4996103
fev/2009;12,66;4,69;4,5;143,4074802
mar/2009;11,7;4,33;4,5;144,5908604
abr/2009;11,11;4,18;4,5;145,7050191
mai/2009;10,16;4,14;4,5;146,7254521
jun/2009;9,54;4,07;4,5;147,4389975
jul/2009;9,01;4,1;4,5;148,2230272
ago/2009;8,65;4,02;4,5;150,6279833
set/2009;8,65;4,1;4,5;151,6590937
out/2009;8,65;4,28;4,5;152,713456
nov/2009;8,65;4,34;4,5;153,6449456
dez/2009;8,65;4,39;4,5;154,990048
jan/2010;8,65;4,55;4,5;155,078429
fev/2010;8,65;4,61;4,5;156,3550576
mar/2010;8,65;4,62;4,5;158,3647144
abr/2010;8,72;4,77;4,5;159,3602546
mai/2010;9,4;4,85;4,5;158,8846954
jun/2010;9,94;4,78;4,5;158,1553428
jul/2010;10,32;4,86;4,5;159,6120634
ago/2010;10,66;4,99;4,5;160,5006376
set/2010;10,66;5,16;4,5;161,5839063
out/2010;10,66;5,34;4,5;162,807313
nov/2010;10,66;5,41;4,5;164,2817905
dez/2010;10,66;5,51;4,5;161,9092618
jan/2011;10,85;5,53;4,5;164,1649002
fev/2011;11,17;5,59;4,5;164,3432415
mar/2011;11,62;5,48;4,5;164,4196462
abr/2011;11,74;5,55;4,5;164,5835121
mai/2011;11,92;5,28;4,5;165,9071832
jun/2011;12,1;5,07;4,5;167,2288881
jul/2011;12,25;5,27;4,5;166,3015442
ago/2011;12,42;5,44;4,5;166,2215632
set/2011;11,91;5,7;4,5;165,9930243
out/2011;11,7;5,64;4,5;166,9407475
nov/2011;11,4;5,56;4,5;168,3536314
dez/2011;10,9;5,4;4,5;165,8400292
jan/2012;10,7;5,31;4,5;165,3089102
fev/2012;10,4;5,28;4,5;165,1320197
mar/2012;9,82;5,4;4,5;166,0729928
abr/2012;9,35;5,51;4,5;166,0083122
mai/2012;8,87;5,56;4,5;168,2336196
jun/2012;8,39;5,44;4,5;169,4525641
jul/2012;8,07;5,5;4,5;171,1941003
ago/2012;7,85;5,61;4,5;171,5332699
set/2012;7,39;5,65;4,5;170,5113861
out/2012;7,23;5,52;4,5;170,8095009
nov/2012;7,14;5,36;4,5;171,2735497
dez/2012;7,16;5,51;4,5;173,4520528
jan/2013;7,11;5,66;4,5;172,0282664
fev/2013;7,12;5,54;4,5;171,0642671
mar/2013;7,15;5,55;4,5;172,6379434
abr/2013;7,26;5,54;4,5;173,7339056
mai/2013;7,42;5,61;4,5;173,8754972
jun/2013;7,9;5,7;4,5;174,0100642
jul/2013;8,23;5,7;4,5;174,7994787
ago/2013;8,45;5,93;4,5;174,9833577
set/2013;8,9;6,13;4,5;175,5925647
out/2013;9,25;6,22;4,5;175,4135805
nov/2013;9,45;6,22;4,5;176,0894139
dez/2013;9,9;6,1;4,5;174,6214736
jan/2014;10,17;6,04;4,5;176,1322794
fev/2014;10,43;6,09;4,5;176,4405433
mar/2014;10,65;6,3;4,5;176,6977991
abr/2014;10,87;6,27;4,5;175,8085806
mai/2014;10,9;6,06;4,5;174,1889402
jun/2014;10,9;6;4,5;171,41319
jul/2014;10,9;5,98;4,5;172,8787742
ago/2014;10,9;6,1;4,5;172,8327341
set/2014;10,9;6,27;4,5;173,2307521
out/2014;10,92;6,37;4,5;173,1988099
nov/2014;11,15;6,49;4,5;173,4160862
